

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=656:36682286D
 
Bei den Ärztekammern registrierte Ärztinnen und Ärzte mit Gebiets- und Facharztbezeichnung (absolut, je 100.000 Einwohner und Einwohner je Arzt). Gliederungsmerkmale: Jahre, Region, Alter, Geschlecht, Gebiets-/Facharztbezeichnung, Tätigkeitsbereich                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Region:;Deutschland
Gebiets-/Facharztbezeichnung:;Öffentliches Gesundheitswesen
Tätigkeitsbereich:;Mit ärztlicher Tätigkeit
Darstellung:;Anzahl Ärzte/Ärztinnen
""
;;"";;;;;;;;;;;;;;;;;;;;;
;;" 1998";" 1999";" 2000";" 2001";" 2002";" 2003";" 2004";" 2005";" 2006";" 2007";" 2008";" 2009";" 2010";" 2011";" 2012";" 2013";" 2014";" 2015";" 2016";" 2017";" 2018";
" Beide Geschlechter";" Alle Altersgruppen";"1.072";"1.063";"1.079";"1.047";"1.053";"1.034";"1.015";"969";"961";"958";"919";"892";"882";"866";"857";"840";"844";"811";"800";"785";"784";
;"    Unter 35 Jahre";"3";"2";"2";"2";"1";"1";"";"";"1";"2";"2";"3";"4";"2";"1";"2";"3";"3";"1";"2";"";
;"    35 bis unter 40 Jahre";"48";"35";"28";"26";"21";"17";"18";"14";"13";"14";"11";"12";"8";"9";"12";"14";"12";"17";"18";"13";"12";
;"    40 bis unter 50 Jahre";"475";"457";"440";"407";"392";"370";"337";"289";"261";"229";"206";"174";"155";"148";"127";"119";"112";"95";"90";"91";"100";
;"    50 bis unter 60 Jahre";"432";"436";"447";"448";"454";"460";"475";"502";"526";"552";"546";"542";"527";"499";"486";"470";"440";"402";"372";"348";"329";
;"    60 bis unter 66 Jahre";"90";"113";"139";"144";"163";"163";"165";"148";"143";"146";"136";"142";"167";"186";"208";"211";"245";"257";"268";"269";"280";
;"    66 Jahre und älter";"24";"20";"23";"20";"22";"23";"20";"16";"17";"15";"18";"19";"21";"22";"23";"24";"32";"37";"51";"62";"63";
"    Männlich";" Alle Altersgruppen";"614";"606";"632";"610";"615";"605";"585";"566";"560";"549";"519";"498";"484";"474";"477";"458";"462";"433";"425";"413";"406";
;"    Unter 35 Jahre";"1";"1";"";"";"";"";"";"";"";"1";"";"";"";"";"";"1";"1";"2";"1";"1";"";
;"    35 bis unter 40 Jahre";"25";"21";"17";"14";"12";"10";"10";"6";"5";"4";"4";"6";"5";"4";"5";"4";"4";"4";"6";"4";"5";
;"    40 bis unter 50 Jahre";"308";"287";"281";"260";"237";"219";"184";"151";"139";"107";"93";"77";"66";"62";"58";"54";"52";"39";"38";"39";"42";
;"    50 bis unter 60 Jahre";"216";"228";"247";"250";"271";"275";"292";"316";"323";"343";"330";"316";"301";"279";"265";"250";"219";"198";"179";"150";"134";
;"    60 bis unter 66 Jahre";"50";"56";"72";"71";"80";"86";"86";"82";"80";"85";"81";"89";"100";"117";"135";"133";"162";"163";"161";"170";"171";
;"    66 Jahre und älter";"14";"13";"15";"15";"15";"15";"13";"11";"13";"9";"11";"10";"12";"12";"14";"16";"24";"27";"40";"49";"54";
"    Weiblich";" Alle Altersgruppen";"458";"457";"447";"437";"438";"429";"430";"403";"401";"409";"400";"394";"398";"392";"380";"382";"382";"378";"375";"372";"378";
;"    Unter 35 Jahre";"2";"1";"2";"2";"1";"1";"";"";"1";"1";"2";"3";"4";"2";"1";"1";"2";"1";"";"1";"";
;"    35 bis unter 40 Jahre";"23";"14";"11";"12";"9";"7";"8";"8";"8";"10";"7";"6";"3";"5";"7";"10";"8";"13";"12";"9";"7";
;"    40 bis unter 50 Jahre";"167";"170";"159";"147";"155";"151";"153";"138";"122";"122";"113";"97";"89";"86";"69";"65";"60";"56";"52";"52";"58";
;"    50 bis unter 60 Jahre";"216";"208";"200";"198";"183";"185";"183";"186";"203";"209";"216";"226";"226";"220";"221";"220";"221";"204";"193";"198";"195";
;"    60 bis unter 66 Jahre";"40";"57";"67";"73";"83";"77";"79";"66";"63";"61";"55";"53";"67";"69";"73";"78";"83";"94";"107";"99";"109";
;"    66 Jahre und älter";"10";"7";"8";"5";"7";"8";"7";"5";"4";"6";"7";"9";"9";"10";"9";"8";"8";"10";"11";"13";"9";

****************************************************************************************************
Fußnoten
****************************************************************************************************

"1.";"Angaben zum Stichtag 31.12. des jeweiligen Jahres."
"2.";"Die Gebiets- und Facharztbezeichnungen entsprechen der (Muster-)Weiterbildungsordnung der Bundesärztekammer von 2003, soweit sie in dieser enthalten sind. Alte Bezeichnungen, die in dieser Fassung nicht mehr enthalten sind, wurden, wenn möglich, in dieser Fassung enthaltenen Bezeichnungen zugeordnet."

****************************************************************************************************
Die Tabelle wurde am 21.07.2019 20:25 Uhr unter www.gbe-bund.de erstellt.
****************************************************************************************************

Quelle(n):
"Ärztestatistik, Bundesärztekammer (Arbeitsgemeinschaft der deutschen Ärztekammern)"
"Fortschreibung des Bevölkerungsstandes, Statistisches Bundesamt"
