

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=656:36682230D
 
Bei den Ärztekammern registrierte Ärztinnen und Ärzte mit Gebiets- und Facharztbezeichnung (absolut, je 100.000 Einwohner und Einwohner je Arzt). Gliederungsmerkmale: Jahre, Region, Alter, Geschlecht, Gebiets-/Facharztbezeichnung, Tätigkeitsbereich                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Region:;Deutschland
Alter:;Alle Altersgruppen
Geschlecht:;Beide Geschlechter
Tätigkeitsbereich:;Mit ärztlicher Tätigkeit
Darstellung:;Anzahl Ärzte/Ärztinnen
""
;"";;;;;;;;;;;;;;;;;;;;;
;" 1998";" 1999";" 2000";" 2001";" 2002";" 2003";" 2004";" 2005";" 2006";" 2007";" 2008";" 2009";" 2010";" 2011";" 2012";" 2013";" 2014";" 2015";" 2016";" 2017";" 2018";
"    Allgemeinmedizin";"35.599";"36.427";"36.963";"37.836";"38.711";"39.238";"39.981";"43.167";"42.256";"42.744";"42.730";"42.897";"43.103";"43.190";"43.304";"43.248";"43.206";"43.569";"43.618";"43.524";"43.697";
"    Anästhesiologie";"13.779";"14.354";"14.827";"15.240";"15.630";"16.108";"16.473";"16.951";"17.418";"17.891";"18.327";"18.868";"19.413";"20.144";"20.836";"21.478";"22.071";"22.875";"23.531";"24.301";"24.970";
"    Anatomie";"134";"142";"136";"136";"134";"129";"132";"125";"118";"110";"104";"97";"100";"102";"103";"107";"108";"113";"115";"114";"110";
"    Arbeitsmedizin";"2.614";"2.649";"2.624";"2.664";"2.679";"2.654";"2.665";"2.697";"2.703";"2.721";"2.728";"2.762";"2.821";"2.863";"2.926";"3.006";"3.112";"3.194";"3.282";"3.370";"3.519";
"    Augenheilkunde";"6.305";"6.296";"6.336";"6.378";"6.411";"6.461";"6.472";"6.527";"6.544";"6.613";"6.638";"6.756";"6.805";"6.910";"6.980";"7.076";"7.156";"7.298";"7.388";"7.497";"7.639";
"    Biochemie";"93";"93";"87";"86";"85";"72";"66";"61";"61";"56";"58";"50";"50";"53";"48";"47";"46";"47";"41";"39";"37";
"    Chirurgie";"23.113";"23.829";"24.426";"25.132";"25.809";"26.570";"27.187";"27.784";"28.414";"29.048";"29.602";"30.386";"31.166";"32.028";"32.906";"33.621";"34.276";"35.324";"36.148";"36.991";"37.853";
"    Frauenheilkunde und Geburtshilfe";"14.327";"14.614";"14.815";"15.041";"15.228";"15.384";"15.490";"15.605";"15.811";"15.950";"16.134";"16.369";"16.599";"16.861";"17.147";"17.337";"17.651";"17.994";"18.253";"18.427";"18.622";
"    Hals-Nasen-Ohrenheilkunde";"5.172";"5.204";"5.264";"5.319";"5.358";"5.420";"5.467";"5.476";"5.527";"5.566";"5.566";"5.631";"5.696";"5.804";"5.922";"5.952";"6.083";"6.206";"6.273";"6.295";"6.383";
"    Haut- und Geschlechtskrankheiten";"4.429";"4.519";"4.626";"4.705";"4.778";"4.867";"4.915";"5.012";"5.071";"5.114";"5.180";"5.250";"5.314";"5.411";"5.519";"5.584";"5.652";"5.767";"5.860";"5.944";"6.057";
"    Humangenetik";"151";"159";"181";"179";"194";"190";"206";"220";"227";"235";"251";"265";"281";"295";"310";"320";"322";"341";"342";"363";"359";
"    Hygiene und Umweltmedizin";"289";"282";"271";"267";"257";"244";"231";"218";"212";"212";"207";"204";"201";"201";"201";"195";"198";"199";"204";"206";"212";
