

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=656:36681313D
 
Bei den Ärztekammern registrierte Ärztinnen und Ärzte mit Gebiets- und Facharztbezeichnung (absolut, je 100.000 Einwohner und Einwohner je Arzt). Gliederungsmerkmale: Jahre, Region, Alter, Geschlecht, Gebiets-/Facharztbezeichnung, Tätigkeitsbereich                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Alter:;Alle Altersgruppen
Geschlecht:;Beide Geschlechter
Gebiets-/Facharztbezeichnung:;Öffentliches Gesundheitswesen
Tätigkeitsbereich:;Mit ärztlicher Tätigkeit
Darstellung:;Anzahl Ärzte/Ärztinnen
""
;"";;;;;;;;;;;;;;;;;;;;;
;" 1998";" 1999";" 2000";" 2001";" 2002";" 2003";" 2004";" 2005";" 2006";" 2007";" 2008";" 2009";" 2010";" 2011";" 2012";" 2013";" 2014";" 2015";" 2016";" 2017";" 2018";
"    Baden-Württemberg";"165";"168";"165";"166";"160";"163";"159";"157";"150";"148";"142";"136";"134";"134";"128";"124";"123";"108";"106";"107";"114";
"    Bayern";"99";"104";"119";"124";"128";"130";"136";"134";"135";"133";"131";"129";"127";"130";"140";"135";"136";"127";"129";"124";"125";
"    Berlin, bis 1990 nur Berlin-West";"59";"55";"52";"48";"45";"41";"40";"37";"43";"40";"37";"42";"40";"37";"37";"35";"38";"43";"43";"40";"37";
"    Brandenburg";"33";"36";"35";"34";"32";"33";"32";"29";"29";"32";"30";"30";"32";"30";"31";"28";"31";"32";"31";"30";"33";
"    Bremen";"9";"9";"9";"8";"9";"9";"10";"10";"10";"10";"12";"12";"12";"11";"11";"16";"17";"13";"11";"11";"11";
"    Hamburg";"27";"25";"27";"19";"24";"25";"25";"24";"20";"21";"22";"22";"22";"22";"22";"21";"21";"20";"20";"19";"19";
"    Hessen";"62";"57";"65";"67";"66";"67";"62";"65";"66";"66";"63";"60";"54";"58";"55";"57";"58";"61";"57";"58";"60";
"    Mecklenburg-Vorpommern";"29";"29";"29";"30";"31";"29";"24";"21";"22";"22";"22";"21";"21";"23";"21";"26";"26";"24";"23";"21";"20";
"    Niedersachsen";"122";"123";"119";"120";"121";"117";"109";"108";"112";"111";"108";"110";"113";"109";"114";"108";"104";"102";"96";"101";"97";
"    Nordrhein-Westfalen";"221";"218";"221";"215";"214";"203";"199";"183";"181";"182";"172";"163";"165";"155";"149";"139";"141";"134";"134";"123";"116";
"    Rheinland-Pfalz";"53";"55";"55";"52";"52";"50";"50";"50";"49";"51";"54";"49";"47";"47";"44";"47";"47";"48";"52";"51";"50";
"    Saarland";"16";"16";"16";"16";"17";"17";"18";"15";"15";"15";"13";"14";"12";"11";"10";"10";"10";"9";"8";"7";"7";
"    Sachsen";"50";"51";"48";"50";"51";"57";"61";"55";"53";"54";"48";"46";"49";"49";"49";"51";"49";"48";"46";"47";"49";
"    Sachsen-Anhalt";"39";"29";"36";"24";"35";"30";"25";"25";"23";"22";"18";"17";"14";"14";"12";"14";"14";"12";"12";"12";"11";
"    Schleswig-Holstein";"52";"53";"52";"45";"41";"37";"38";"35";"34";"31";"28";"23";"24";"19";"18";"15";"16";"16";"19";"22";"24";
"    Thüringen";"36";"35";"31";"29";"27";"26";"27";"21";"19";"20";"19";"18";"16";"17";"16";"14";"13";"14";"13";"12";"11";

****************************************************************************************************
Fußnoten
****************************************************************************************************

"1.";"Angaben zum Stichtag 31.12. des jeweiligen Jahres."
"2.";"Die Gebiets- und Facharztbezeichnungen entsprechen der (Muster-)Weiterbildungsordnung der Bundesärztekammer von 2003, soweit sie in dieser enthalten sind. Alte Bezeichnungen, die in dieser Fassung nicht mehr enthalten sind, wurden, wenn möglich, in dieser Fassung enthaltenen Bezeichnungen zugeordnet."

****************************************************************************************************
Die Tabelle wurde am 21.07.2019 15:30 Uhr unter www.gbe-bund.de erstellt.
****************************************************************************************************

Quelle(n):
"Ärztestatistik, Bundesärztekammer (Arbeitsgemeinschaft der deutschen Ärztekammern)"
"Fortschreibung des Bevölkerungsstandes, Statistisches Bundesamt"
