

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=656:36546867D
 
Bei den Ärztekammern registrierte Ärztinnen und Ärzte mit Gebiets- und Facharztbezeichnung (absolut, je 100.000 Einwohner und Einwohner je Arzt). Gliederungsmerkmale: Jahre, Region, Alter, Geschlecht, Gebiets-/Facharztbezeichnung, Tätigkeitsbereich                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Tätigkeitsbereich:;Mit ärztlicher Tätigkeit
Darstellung:;Anzahl Ärzte/Ärztinnen
""
;;;;"";;;;;;;;;;;;;;;;;;
;;;;" 2000";" 2001";" 2002";" 2003";" 2004";" 2005";" 2006";" 2007";" 2008";" 2009";" 2010";" 2011";" 2012";" 2013";" 2014";" 2015";" 2016";" 2017";
" Beide Geschlechter";" Alle Altersgruppen";" Deutschland";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"294.676";"297.893";"301.060";"304.117";"306.435";"307.577";"311.230";"314.912";"319.697";"325.945";"333.599";"342.063";"348.695";"357.252";"365.247";"371.302";"378.607";"385.149";
;;;"    Öffentliches Gesundheitswesen";"1.079";"1.047";"1.053";"1.034";"1.015";"969";"961";"958";"919";"892";"882";"866";"857";"840";"844";"811";"800";"785";
;;"    Baden-Württemberg";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"37.606";"38.161";"38.681";"39.218";"39.420";"39.772";"40.206";"40.666";"41.223";"41.916";"43.196";"44.917";"45.448";"47.415";"48.699";"47.723";"48.606";"49.348";
;;;"    Öffentliches Gesundheitswesen";"165";"166";"160";"163";"159";"157";"150";"148";"142";"136";"134";"134";"128";"124";"123";"108";"106";"107";
;;"    Bayern";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"47.265";"47.943";"48.159";"48.472";"49.047";"49.598";"50.273";"50.883";"51.775";"52.818";"54.310";"55.522";"56.643";"58.431";"59.574";"60.883";"62.088";"63.014";
;;;"    Öffentliches Gesundheitswesen";"119";"124";"128";"130";"136";"134";"135";"133";"131";"129";"127";"130";"140";"135";"136";"127";"129";"124";
;;"    Berlin, bis 1990 nur Berlin-West";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"17.481";"17.533";"17.743";"17.936";"17.867";"16.964";"17.098";"17.145";"17.393";"18.000";"18.184";"18.691";"18.925";"18.923";"19.737";"21.538";"22.073";"22.529";
;;;"    Öffentliches Gesundheitswesen";"52";"48";"45";"41";"40";"37";"43";"40";"37";"42";"40";"37";"37";"35";"38";"43";"43";"40";
