

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=656:36681059D
 
Bei den Ärztekammern registrierte Ärztinnen und Ärzte mit Gebiets- und Facharztbezeichnung (absolut, je 100.000 Einwohner und Einwohner je Arzt). Gliederungsmerkmale: Jahre, Region, Alter, Geschlecht, Gebiets-/Facharztbezeichnung, Tätigkeitsbereich                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Region:;Deutschland
Alter:;Alle Altersgruppen
Geschlecht:;Beide Geschlechter
Darstellung:;Ärzte/Ärztinnen je 100.000 Einwohner
""
;;"";;;;;;;;;;;;;;;;;;;;;;
;;" 1995";" 1998";" 1999";" 2000";" 2001";" 2002";" 2003";" 2004";" 2005";" 2006";" 2007";" 2008";" 2009";" 2010";" 2011";" 2012";" 2013";" 2014";" 2015";" 2016";" 2017";" 2018";
" Tätigkeitsbereiche insgesamt";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"409,87";"436,06";"442,28";"448,97";"455,15";"462,03";"470,37";"478,09";"485,89";"494,41";"503,17";"514,24";"525,57";"537,10";"559,47";"570,04";"582,44";"592,60";"591,19";"601,35";"611,18";"621,11";
;"    Allgemeinmedizin";"45,64";"53,40";"54,94";"55,84";"57,23";"58,71";"59,80";"61,38";"66,49";"65,67";"66,82";"67,45";"68,24";"68,93";"70,62";"71,06";"71,36";"71,56";"71,37";"71,85";"72,24";"72,89";
;"    Anästhesiologie";"15,27";"18,79";"19,62";"20,46";"21,27";"22,02";"22,91";"23,65";"24,60";"25,51";"26,51";"27,43";"28,45";"29,36";"30,98";"31,98";"32,93";"33,76";"34,43";"35,37";"36,48";"37,50";
;"    Anatomie";"0,10";"0,20";"0,21";"0,21";"0,21";"0,21";"0,21";"0,22";"0,22";"0,22";"0,21";"0,22";"0,21";"0,22";"0,23";"0,23";"0,24";"0,23";"0,24";"0,24";"0,24";"0,23";
;"    Arbeitsmedizin";"3,56";"4,14";"4,25";"4,28";"4,36";"4,48";"4,50";"4,59";"4,78";"4,88";"4,98";"5,09";"5,17";"5,27";"5,45";"5,59";"5,71";"5,84";"5,85";"5,97";"6,12";"6,30";
;"    Augenheilkunde";"8,80";"9,49";"9,61";"9,70";"9,83";"9,96";"10,13";"10,28";"10,45";"10,63";"10,80";"11,00";"11,23";"11,34";"11,74";"11,85";"12,02";"12,12";"12,15";"12,31";"12,47";"12,68";
;"    Biochemie";"0,10";"0,14";"0,14";"0,14";"0,14";"0,14";"0,13";"0,13";"0,13";"0,13";"0,13";"0,13";"0,12";"0,12";"0,13";"0,13";"0,13";"0,12";"0,12";"0,12";"0,11";"0,11";
;"    Chirurgie";"29,97";"33,70";"34,80";"35,82";"36,97";"38,16";"39,50";"40,79";"42,02";"43,35";"44,64";"45,93";"47,28";"48,57";"50,78";"52,09";"53,20";"54,01";"54,64";"55,78";"57,12";"58,24";
;"    Frauenheilkunde und Geburtshilfe";"19,30";"21,13";"21,67";"22,15";"22,67";"23,25";"23,79";"24,30";"24,87";"25,43";"25,99";"26,56";"27,18";"27,67";"28,68";"29,14";"29,54";"29,95";"30,06";"30,47";"30,82";"31,18";
;"    Hals-Nasen-Ohrenheilkunde";"7,20";"7,81";"7,91";"8,03";"8,18";"8,33";"8,50";"8,60";"8,74";"8,90";"9,06";"9,18";"9,35";"9,44";"9,75";"9,90";"9,97";"10,12";"10,14";"10,20";"10,30";"10,38";
;"    Haut- und Geschlechtskrankheiten";"6,14";"6,80";"6,98";"7,12";"7,31";"7,49";"7,68";"7,84";"8,04";"8,24";"8,39";"8,55";"8,68";"8,80";"9,11";"9,26";"9,35";"9,41";"9,42";"9,56";"9,64";"9,79";
;"    Humangenetik";"0,09";"0,20";"0,21";"0,23";"0,23";"0,25";"0,26";"0,28";"0,30";"0,31";"0,33";"0,35";"0,38";"0,40";"0,42";"0,44";"0,46";"0,47";"0,48";"0,49";"0,52";"0,52";
