

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=656:36610613D
 
Bei den Ärztekammern registrierte Ärztinnen und Ärzte mit Gebiets- und Facharztbezeichnung (absolut, je 100.000 Einwohner und Einwohner je Arzt). Gliederungsmerkmale: Jahre, Region, Alter, Geschlecht, Gebiets-/Facharztbezeichnung, Tätigkeitsbereich                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Region:;Deutschland
Alter:;Alle Altersgruppen
Geschlecht:;Beide Geschlechter
Tätigkeitsbereich:;Mit ärztlicher Tätigkeit
Darstellung:;Ärzte/Ärztinnen je 100.000 Einwohner
""
;"";;;;;;;;;;;;;;;;;;;;;
;" 1995";" 1998";" 1999";" 2000";" 2001";" 2002";" 2003";" 2004";" 2005";" 2006";" 2007";" 2008";" 2009";" 2010";" 2011";" 2012";" 2013";" 2014";" 2015";" 2016";" 2017";
" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"334,75";"349,88";"354,38";"358,23";"361,34";"364,76";"368,49";"371,43";"373,10";"378,10";"383,02";"389,86";"398,45";"408,06";"425,83";"433,03";"442,32";"449,83";"451,84";"458,80";"465,20";
"    Allgemeinmedizin";"36,31";"43,39";"44,33";"44,93";"45,90";"46,90";"47,54";"48,46";"52,36";"51,33";"51,99";"52,11";"52,44";"52,72";"53,77";"53,78";"53,55";"53,21";"53,02";"52,86";"52,57";
"    Anästhesiologie";"13,79";"16,80";"17,47";"18,02";"18,49";"18,94";"19,52";"19,97";"20,56";"21,16";"21,76";"22,35";"23,07";"23,75";"25,08";"25,88";"26,59";"27,18";"27,84";"28,51";"29,35";
"    Anatomie";"0,08";"0,16";"0,17";"0,17";"0,16";"0,16";"0,16";"0,16";"0,15";"0,14";"0,13";"0,13";"0,12";"0,12";"0,13";"0,13";"0,13";"0,13";"0,14";"0,14";"0,14";
"    Arbeitsmedizin";"2,73";"3,19";"3,22";"3,19";"3,23";"3,25";"3,22";"3,23";"3,27";"3,28";"3,31";"3,33";"3,38";"3,45";"3,56";"3,63";"3,72";"3,83";"3,89";"3,98";"4,07";
"    Augenheilkunde";"7,28";"7,69";"7,66";"7,70";"7,74";"7,77";"7,83";"7,84";"7,92";"7,95";"8,04";"8,09";"8,26";"8,32";"8,60";"8,67";"8,76";"8,81";"8,88";"8,95";"9,06";
"    Biochemie";"0,08";"0,11";"0,11";"0,11";"0,10";"0,10";"0,09";"0,08";"0,07";"0,07";"0,07";"0,07";"0,06";"0,06";"0,07";"0,06";"0,06";"0,06";"0,06";"0,05";"0,05";
"    Chirurgie";"25,44";"28,17";"29,00";"29,69";"30,49";"31,27";"32,19";"32,95";"33,70";"34,52";"35,33";"36,10";"37,15";"38,12";"39,87";"40,86";"41,63";"42,21";"42,99";"43,80";"44,68";
"    Frauenheilkunde und Geburtshilfe";"16,42";"17,46";"17,79";"18,01";"18,24";"18,45";"18,64";"18,78";"18,93";"19,21";"19,40";"19,68";"20,01";"20,30";"20,99";"21,29";"21,47";"21,74";"21,90";"22,12";"22,26";
"    Hals-Nasen-Ohrenheilkunde";"5,91";"6,30";"6,33";"6,40";"6,45";"6,49";"6,57";"6,63";"6,64";"6,71";"6,77";"6,79";"6,88";"6,97";"7,23";"7,35";"7,37";"7,49";"7,55";"7,60";"7,60";
"    Haut- und Geschlechtskrankheiten";"4,96";"5,40";"5,50";"5,62";"5,71";"5,79";"5,90";"5,96";"6,08";"6,16";"6,22";"6,32";"6,42";"6,50";"6,74";"6,85";"6,91";"6,96";"7,02";"7,10";"7,18";
"    Humangenetik";"0,09";"0,18";"0,19";"0,22";"0,22";"0,24";"0,23";"0,25";"0,27";"0,28";"0,29";"0,31";"0,32";"0,34";"0,37";"0,38";"0,40";"0,40";"0,41";"0,41";"0,44";
"    Hygiene und Umweltmedizin";"0,38";"0,35";"0,34";"0,33";"0,32";"0,31";"0,30";"0,28";"0,26";"0,26";"0,26";"0,25";"0,25";"0,25";"0,25";"0,25";"0,24";"0,24";"0,24";"0,25";"0,25";
"    Innere Medizin";"38,91";"42,24";"43,12";"43,71";"44,66";"45,54";"46,52";"47,42";"48,07";"49,00";"49,84";"50,88";"52,20";"53,77";"56,72";"58,36";"59,54";"60,46";"61,86";"63,21";"64,45";
"    Kinder- und Jugendmedizin";"12,86";"13,46";"13,60";"13,61";"13,62";"13,69";"13,76";"13,84";"13,94";"14,14";"14,34";"14,60";"14,93";"15,29";"15,99";"16,37";"16,67";"16,89";"17,23";"17,53";"17,76";
"    Kinder- und Jugendpsychiatrie und -psychotherapie";"0,84";"1,11";"1,18";"1,25";"1,30";"1,37";"1,41";"1,50";"1,58";"1,64";"1,72";"1,83";"1,94";"2,06";"2,25";"2,34";"2,43";"2,51";"2,64";"2,74";"2,83";
"    Laboratoriumsmedizin";"1,10";"1,13";"1,10";"1,09";"1,12";"1,14";"1,15";"1,15";"1,15";"1,14";"1,15";"1,19";"1,22";"1,22";"1,27";"1,29";"1,30";"1,31";"1,33";"1,35";"1,36";
"    Mikrobiologie, Virologie, Infektionsepidemiologie";"0,62";"0,72";"0,71";"0,73";"0,74";"0,74";"0,76";"0,77";"0,78";"0,78";"0,79";"0,81";"0,81";"0,82";"0,87";"0,87";"0,88";"0,90";"0,93";"0,94";"0,96";
"    Mund-Kiefer-Gesichtschirurgie";"1,08";"1,28";"1,31";"1,37";"1,42";"1,50";"1,54";"1,59";"1,61";"1,65";"1,72";"1,76";"1,80";"1,82";"1,89";"1,92";"1,96";"2,01";"2,01";"2,05";"2,09";
"    Nervenheilkunde";"7,99";"7,01";"6,54";"6,30";"6,12";"5,83";"5,61";"5,39";"5,16";"4,96";"4,73";"4,57";"4,44";"4,35";"4,28";"4,14";"3,98";"3,78";"3,67";"3,47";"3,30";
"    Neurochirurgie";"0,89";"1,06";"1,13";"1,18";"1,29";"1,36";"1,47";"1,52";"1,59";"1,68";"1,75";"1,79";"1,87";"1,95";"2,09";"2,22";"2,30";"2,40";"2,52";"2,63";"2,73";
"    Neurologie";"1,84";"2,39";"2,77";"2,71";"2,94";"3,20";"3,45";"3,95";"4,30";"4,50";"4,86";"5,17";"5,55";"5,88";"6,32";"6,67";"7,09";"7,51";"7,85";"8,25";"8,68";
"    Nuklearmedizin";"0,70";"0,88";"0,92";"0,98";"1,00";"1,04";"1,08";"1,10";"1,13";"1,16";"1,16";"1,20";"1,24";"1,28";"1,31";"1,33";"1,37";"1,39";"1,39";"1,41";"1,42";
