

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=656:36406946D
 
Bei den Ärztekammern registrierte Ärztinnen und Ärzte mit Gebiets- und Facharztbezeichnung (absolut, je 100.000 Einwohner und Einwohner je Arzt). Gliederungsmerkmale: Jahre, Region, Alter, Geschlecht, Gebiets-/Facharztbezeichnung, Tätigkeitsbereich                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Region:;Deutschland
Geschlecht:;Beide Geschlechter
Tätigkeitsbereich:;Tätigkeitsbereiche insgesamt
Darstellung:;Anzahl Ärzte/Ärztinnen
""
;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;" 1979";" 1980";" 1981";" 1982";" 1983";" 1984";" 1985";" 1986";" 1987";" 1988";" 1989";" 1990";" 1991";" 1992";" 1993";" 1994";" 1995";" 1996";" 1997";" 1998";" 1999";" 2000";" 2001";" 2002";" 2003";" 2004";" 2005";" 2006";" 2007";" 2008";" 2009";" 2010";" 2011";" 2012";" 2013";" 2014";" 2015";" 2016";" 2017";
" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";".";".";".";".";".";".";".";".";".";".";".";"297.803";"307.994";"317.737";"326.760";"335.348";"343.556";"350.854";"357.727";"363.396";"369.319";"375.225";"381.342";"388.201";"394.432";"400.562";"406.974";"413.696";"421.686";"429.926";"439.090";"449.409";"459.021";"470.422";"481.174";"485.818";"496.240";"506.014";
;"    Allgemeinmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"30.863";"31.242";"32.528";"34.879";"37.341";"40.884";"42.337";"43.808";"45.142";"45.937";"47.177";"48.458";"49.352";"50.639";"54.816";"54.058";"54.936";"55.312";"55.820";"56.350";"56.726";"57.217";"57.633";"58.102";"58.649";"59.292";"59.807";
;"       Allgemeinmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"30.863";"31.242";"32.528";"34.879";"37.341";"40.884";"42.337";"43.808";"45.142";"45.937";"47.177";"48.458";"49.352";"50.639";"54.816";"54.058";"54.936";"55.312";"55.820";"56.350";"56.726";"57.217";"57.633";"58.102";"58.649";"59.292";"59.807";
;"    Anästhesiologie";".";".";".";".";".";".";".";".";".";".";".";".";"10.140";"10.885";"11.572";"12.231";"12.493";"13.792";"14.633";"15.414";"16.119";"16.827";"17.533";"18.174";"18.907";"19.510";"20.283";"21.001";"21.800";"22.491";"23.274";"24.003";"24.886";"25.752";"26.598";"27.413";"28.290";"29.191";"30.203";
;"       Anästhesiologie";".";".";".";".";".";".";".";".";".";".";".";".";"10.140";"10.885";"11.572";"12.231";"12.493";"13.792";"14.633";"15.414";"16.119";"16.827";"17.533";"18.174";"18.907";"19.510";"20.283";"21.001";"21.800";"22.491";"23.274";"24.003";"24.886";"25.752";"26.598";"27.413";"28.290";"29.191";"30.203";
;"    Anatomie";".";".";".";".";".";".";".";".";".";".";".";".";"31";"60";"63";"58";"80";"117";"146";"165";"176";"171";"176";"176";"177";"183";"180";"177";"176";"177";"174";"179";"186";"189";"192";"190";"195";"197";"198";
;"       Anatomie";".";".";".";".";".";".";".";".";".";".";".";".";"31";"60";"63";"58";"80";"117";"146";"165";"176";"171";"176";"176";"177";"183";"180";"177";"176";"177";"174";"179";"186";"189";"192";"190";"195";"197";"198";
;"    Arbeitsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"2.638";"2.727";"2.868";"2.921";"2.915";"3.121";"3.185";"3.393";"3.488";"3.521";"3.592";"3.700";"3.718";"3.789";"3.939";"4.013";"4.095";"4.173";"4.230";"4.307";"4.376";"4.501";"4.610";"4.744";"4.804";"4.928";"5.070";
;"       Arbeitsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"2.638";"2.727";"2.868";"2.921";"2.915";"3.121";"3.185";"3.393";"3.488";"3.521";"3.592";"3.700";"3.718";"3.789";"3.939";"4.013";"4.095";"4.173";"4.230";"4.307";"4.376";"4.501";"4.610";"4.744";"4.804";"4.928";"5.070";
