

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=656:36414820D
 
Bei den Ärztekammern registrierte Ärztinnen und Ärzte mit Gebiets- und Facharztbezeichnung (absolut, je 100.000 Einwohner und Einwohner je Arzt). Gliederungsmerkmale: Jahre, Region, Alter, Geschlecht, Gebiets-/Facharztbezeichnung, Tätigkeitsbereich                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Darstellung:;Anzahl Ärzte/Ärztinnen
""
;;;;;"";;;;;;;;;
;;;;;" 1979";" 1991";" 1995";" 2000";" 2005";" 2010";" 2015";" 2016";" 2017";
" Tätigkeitsbereiche insgesamt";" Beide Geschlechter";" Alle Altersgruppen";" Deutschland";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"297.803";"335.348";"369.319";"400.562";"439.090";"485.818";"496.240";"506.014";
;;;"    Baden-Württemberg";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"25.225";"39.587";"43.715";"48.503";"53.003";"57.960";"64.137";"65.420";"66.673";
;;;"    Bayern";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"28.710";"46.697";"53.136";"59.423";"65.795";"72.462";"79.291";"81.224";"82.714";
;;;"    Berlin, bis 1990 nur Berlin-West";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"8.577";"20.371";"22.057";"23.958";"25.274";"27.705";"30.543";"31.276";"32.006";
;;;"    Brandenburg";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"6.241";"7.432";"8.729";"10.321";"11.798";"13.207";"13.489";"13.852";
;;;"    Bremen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"2.086";"3.241";"3.575";"3.898";"4.109";"4.570";"4.963";"5.122";"5.232";
;;;"    Hamburg";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"6.363";"9.159";"10.048";"10.792";"11.663";"13.734";"15.831";"16.187";"16.669";
;;;"    Hessen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"14.946";"22.894";"25.452";"27.430";"28.908";"31.653";"35.092";"35.819";"36.539";
