

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=656:36414820D
 
Bei den Ärztekammern registrierte Ärztinnen und Ärzte mit Gebiets- und Facharztbezeichnung (absolut, je 100.000 Einwohner und Einwohner je Arzt). Gliederungsmerkmale: Jahre, Region, Alter, Geschlecht, Gebiets-/Facharztbezeichnung, Tätigkeitsbereich                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Darstellung:;Anzahl Ärzte/Ärztinnen
""
;;;;;"";;;;;;;;;;;;;
;;;;;" 1979";" 1991";" 1995";" 1996";" 1997";" 1998";" 1999";" 2000";" 2005";" 2010";" 2015";" 2016";" 2017";
" Beide Geschlechter";" Deutschland";" Tätigkeitsbereiche insgesamt";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"297.803";"335.348";"343.556";"350.854";"357.727";"363.396";"369.319";"400.562";"439.090";"485.818";"496.240";"506.014";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"74.503";"75.970";"75.378";"71.515";"68.702";"64.930";"62.729";"54.963";"64.739";"77.495";"79.929";"81.596";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"44.778";"52.396";"54.874";"57.387";"59.135";"59.942";"59.286";"50.091";"42.911";"48.593";"49.521";"51.305";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"76.355";"83.589";"87.374";"90.892";"93.928";"96.633";"99.123";"113.976";"112.398";"96.256";"95.065";"93.940";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"50.600";"67.394";"68.096";"70.240";"71.906";"73.481";"74.677";"83.101";"98.174";"112.987";"114.692";"115.684";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"12.362";"16.187";"18.210";"20.744";"23.780";"27.945";"31.914";"43.068";"40.644";"51.744";"52.417";"53.404";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"39.205";"39.812";"39.624";"40.076";"40.276";"40.465";"41.590";"55.363";"80.224";"98.743";"104.616";"110.085";
;;"    Mit ärztlicher Tätigkeit";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"244.238";"273.880";"279.335";"282.737";"287.032";"291.171";"294.676";"307.577";"333.599";"371.302";"378.607";"385.149";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"67.040";"67.803";"66.611";"62.314";"60.132";"57.305";"55.426";"47.405";"56.785";"68.681";"71.015";"72.790";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"40.847";"47.385";"49.373";"50.994";"52.253";"53.256";"52.385";"43.202";"37.556";"43.151";"43.988";"45.494";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"71.488";"77.910";"81.165";"83.831";"86.485";"88.974";"91.076";"103.662";"103.420";"89.386";"88.285";"87.280";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"46.580";"62.014";"62.632";"64.548";"65.955";"67.472";"68.658";"76.411";"90.873";"106.013";"107.613";"108.559";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"8.688";"11.226";"12.525";"14.314";"16.169";"19.046";"22.022";"29.777";"31.581";"42.117";"43.289";"44.498";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"9.595";"7.542";"7.029";"6.736";"6.038";"5.118";"5.109";"7.120";"13.384";"21.954";"24.417";"26.528";
;;"       Ambulant";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"99.825";"117.578";"119.560";"121.990";"124.621";"125.981";"128.488";"134.798";"141.461";"150.106";"151.989";"154.369";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"7.534";"7.096";"6.504";"5.796";"5.419";"4.666";"4.556";"2.572";"2.417";"3.648";"3.997";"4.425";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"13.739";"16.714";"16.755";"16.461";"16.495";"15.907";"15.103";"10.316";"7.838";"8.209";"8.393";"9.032";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"39.568";"44.054";"45.443";"46.277";"47.515";"47.891";"48.085";"49.559";"46.674";"37.358";"36.300";"35.527";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"26.400";"37.427";"38.168";"39.923";"41.117";"42.434";"43.475";"47.611";"53.396";"58.739";"59.137";"59.369";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"4.957";"6.371";"7.170";"8.257";"9.470";"11.375";"13.527";"19.358";"21.048";"26.294";"26.625";"27.009";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"7.627";"5.916";"5.520";"5.276";"4.605";"3.708";"3.742";"5.382";"10.088";"15.858";"17.537";"19.007";
;;"          Niedergelassen";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"94.798";"110.949";"112.660";"114.955";"116.800";"118.681";"120.217";"126.252";"124.685";"120.733";"119.641";"118.356";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"4.834";"3.439";"2.969";"2.311";"2.035";"1.779";"1.543";"657";"427";"312";"312";"310";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"12.470";"15.185";"14.983";"14.502";"14.139";"13.536";"12.351";"7.846";"4.519";"3.117";"2.925";"2.905";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"38.759";"43.022";"44.271";"45.066";"45.916";"46.300";"46.151";"46.425";"39.836";"27.035";"25.156";"23.548";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"26.217";"37.105";"37.825";"39.620";"40.752";"42.089";"43.040";"46.869";"50.729";"52.635";"52.277";"51.512";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"4.932";"6.318";"7.121";"8.201";"9.389";"11.296";"13.428";"19.149";"20.141";"24.144";"24.267";"24.349";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"7.586";"5.880";"5.491";"5.255";"4.569";"3.681";"3.704";"5.306";"9.033";"13.490";"14.704";"15.732";
;;"          Angestellt";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"5.027";"6.629";"6.900";"7.035";"7.821";"7.300";"8.271";"8.546";"16.776";"29.373";"32.348";"36.013";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"2.700";"3.657";"3.535";"3.485";"3.384";"2.887";"3.013";"1.915";"1.990";"3.336";"3.685";"4.115";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"1.269";"1.529";"1.772";"1.959";"2.356";"2.371";"2.752";"2.470";"3.319";"5.092";"5.468";"6.127";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"809";"1.032";"1.172";"1.211";"1.599";"1.591";"1.934";"3.134";"6.838";"10.323";"11.144";"11.979";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"183";"322";"343";"303";"365";"345";"435";"742";"2.667";"6.104";"6.860";"7.857";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"25";"53";"49";"56";"81";"79";"99";"209";"907";"2.150";"2.358";"2.660";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"41";"36";"29";"21";"36";"27";"38";"76";"1.055";"2.368";"2.833";"3.275";
;;"       Stationär";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"121.247";"132.736";"135.341";"134.637";"135.840";"137.466";"139.477";"146.511";"163.632";"189.622";"194.401";"198.500";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"54.783";"57.503";"57.054";"52.992";"51.323";"49.346";"48.077";"43.064";"52.687";"63.248";"65.033";"66.266";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"23.329";"26.995";"28.658";"30.148";"31.303";"32.575";"32.801";"29.934";"27.600";"32.902";"33.527";"34.447";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"25.123";"26.639";"28.123";"29.409";"30.518";"32.043";"34.054";"44.518";"47.374";"44.992";"45.224";"45.340";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"14.871";"17.655";"17.333";"17.446";"17.673";"17.812";"18.252";"21.186";"27.734";"35.883";"37.050";"37.878";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"2.638";"3.541";"3.815";"4.293";"4.712";"5.413";"5.994";"7.342";"7.331";"10.867";"11.551";"12.256";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"503";"403";"358";"349";"311";"277";"299";"467";"906";"1.730";"2.016";"2.313";
;;"       In Behörden/Körperschaften u. a.";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"10.898";"10.727";"10.654";"10.603";"10.456";"10.236";"9.962";"9.824";"9.684";"9.702";"9.735";"9.795";
